Name,Capitals,Area,Population,Latitude,Longitude
Sokoto,Sokoto,25973,3702676,13.10926568,5.2474005
Katsina,Katsina,24192,5801584,13.02910544,7.491887049
Jigawa,Dutse,23154,4361002,12.88882503,10.17725489
Borno,Maiduguri,70898,4171104,11.96698234,12.72234231
Gombe,Gombe,18768,2365040,10.56417825,10.81853676
Bauchi,Bauchi,45837,4653066,10.54413819,9.576053131
Zamfara,Gusau,39762,3278873,12.24754316,6.610124476
Kano,Kano,20131,9401288,12.10726275,8.353609564
Kaduna,Kaduna,46053,6113503,10.70445866,7.331566582
Kebbi,Birnin Kebbi,36800,3256541,12.30766334,4.345597868
Niger,Minna,76363,3954772,9.562175327,5.968842605
Abuja,Abuja,7315,1405201,8.820693163,7.09108588
Nasarawa,Lafia,27117,1869377,8.720492871,8.433769798
Plateau,Jos,30913,3206531,9.662375619,8.93477126
Taraba,Jalingo,54473,2294800,8.480012169,10.95881717
Adamawa,Yola,36917,3178950,9.562175327,12.56202185
Benue,Makurdi,34059,4253641,7.357768894,8.513930032
Kogi,Lokoja,29833,3314043,7.778610122,6.650204593
Ekiti,Ado-Ekiti,6353,2398357,7.67840983,5.2474005
Kwara,Ilorin,36825,2365353,8.86077328,4.666238804
Oyo,Ibadan,28454,5580894,8.219491408,3.744396113
Osun,Oshogbo,9251,3416959,7.578209537,4.485878277
Ogun,Abeokuta,16762,3751140,7.077208075,3.423755178
Lagos,Ikeja,3345,9113605,6.455966262,3.26343471
Ondo,Akure,15500,3460877,6.87680749,4.946799622
Edo,Benin City,17802,3233366,6.576206613,5.928762488
Delta,Asaba,17698,4112445,5.574203689,6.109123014
Anambra,Awka,4844,4177828,6.235525619,6.970845529
Enugu,Enugu,7161,3267837,6.576206613,7.491887049
Ebonyi,Abakaliki,5670,2176947,6.35576597,8.053008687
Cross River,Calabar,20156,2882988,5.634323864,8.594090266
Abia,Umuahia,6320,2845370,5.614283806,7.552007225
Imo,Owerri,5100,3927563,5.554163631,7.09108588
Bayelsa,Yenagoa,10773,1704515,4.872801642,5.988882663
River,Port Harcourt,11077,5198716,4.973001935,6.810525061
Akwa Ibom,Uyo,7081,3902051,4.832721525,7.812527985
Yobe,Damaturu,45502,2321339,12.24754316,11.43977857
